ID,CLASS
687731.jpg,uneven_bars
158862.jpg,volleyball
660887.jpg,figure_skating_women
620977.jpg,polo
522311.jpg,lacrosse
883434.jpg,olympic_wrestling
354763.jpg,high_jump
562178.jpg,bmx
722650.jpg,bmx
731112.jpg,rings
962803.jpg,parallel_bar
424291.jpg,ampute_football
721160.jpg,balance_beam
359109.jpg,weightlifting
194279.jpg,ski_jumping
715268.jpg,tug_of_war
445789.jpg,golf
430424.jpg,bmx
566500.jpg,rugby
562893.jpg,volleyball
393898.jpg,horse_racing
475673.jpg,horse_jumping
887142.jpg,weightlifting
442721.jpg,wheelchair_racing
599147.jpg,nascar_racing
145485.jpg,shot_put
880548.jpg,sumo_wrestling
444544.jpg,bobsled
202364.jpg,judo
245520.jpg,cricket
200596.jpg,balance_beam
547913.jpg,sailboat_racing
421009.jpg,shot_put
186802.jpg,field_hockey
976868.jpg,javelin
321095.jpg,lacrosse
758378.jpg,high_jump
868237.jpg,surfing
130102.jpg,figure_skating_pairs
415106.jpg,surfing
730570.jpg,bowling
786349.jpg,figure_skating_men
253843.jpg,cricket
129242.jpg,water_polo
742037.jpg,rock_climbing
469897.jpg,rowing
578282.jpg,table_tennis
877098.jpg,giant_slalom
653781.jpg,ampute_football
325899.jpg,polo
931946.jpg,balance_beam
127589.jpg,formula_1_racing
522043.jpg,table_tennis
956534.jpg,bull_riding
305458.jpg,judo
661461.jpg,figure_skating_women
741794.jpg,formula_1_racing
127908.jpg,football
436658.jpg,frisbee
119008.jpg,judo
852744.jpg,cricket
197948.jpg,golf
948665.jpg,uneven_bars
423703.jpg,rings
794228.jpg,boxing
831810.jpg,jai_alai
368355.jpg,surfing
612195.jpg,jai_alai
385297.jpg,wheelchair_basketball
694311.jpg,pommel_horse
787026.jpg,swimming
728325.jpg,football
382713.jpg,rock_climbing
558263.jpg,luge
278841.jpg,tug_of_war
735245.jpg,golf
853280.jpg,figure_skating_pairs
749624.jpg,hammer_throw
771212.jpg,volleyball
373938.jpg,archery
820964.jpg,rings
626296.jpg,balance_beam
867689.jpg,speed_skating
641068.jpg,field_hockey
758335.jpg,bmx
405177.jpg,bowling
798943.jpg,barell_racing
828739.jpg,canoe_slamon
913571.jpg,golf
515792.jpg,lacrosse
215379.jpg,sailboat_racing
611065.jpg,weightlifting
612756.jpg,snow_boarding
928339.jpg,fencing
427656.jpg,tennis
824606.jpg,surfing
569351.jpg,tug_of_war
686281.jpg,croquet
221811.jpg,uneven_bars
330605.jpg,judo
601822.jpg,rowing
975670.jpg,hammer_throw
941681.jpg,rowing
265955.jpg,harness_racing
584621.jpg,polo
906646.jpg,cricket
278332.jpg,ski_jumping
938789.jpg,snowmobile_racing
624291.jpg,volleyball
369092.jpg,wheelchair_basketball
300042.jpg,sumo_wrestling
586009.jpg,skydiving
705505.jpg,shot_put
404392.jpg,olympic_wrestling
336174.jpg,air_hockey
220794.jpg,volleyball
428739.jpg,arm_wrestling
451223.jpg,archery
143296.jpg,arm_wrestling
949552.jpg,rock_climbing
120789.jpg,jai_alai
406434.jpg,harness_racing
795690.jpg,golf
919426.jpg,olympic_wrestling
360462.jpg,figure_skating_women
317482.jpg,skydiving
752640.jpg,cricket
498086.jpg,nascar_racing
204752.jpg,speed_skating
749356.jpg,high_jump
921280.jpg,tug_of_war
598611.jpg,water_polo
101939.jpg,wheelchair_racing
114238.jpg,nascar_racing
483059.jpg,giant_slalom
358479.jpg,baseball
776663.jpg,water_polo
598341.jpg,formula_1_racing
678021.jpg,frisbee
437147.jpg,lacrosse
583409.jpg,snow_boarding
882347.jpg,track_bicycle
133082.jpg,baseball
308385.jpg,skydiving
677140.jpg,giant_slalom
117356.jpg,figure_skating_women
505705.jpg,harness_racing
466496.jpg,wheelchair_basketball
707465.jpg,high_jump
356086.jpg,rollerblade_racing
794759.jpg,barell_racing
579828.jpg,speed_skating
975359.jpg,high_jump
404149.jpg,football
281662.jpg,figure_skating_pairs
935269.jpg,high_jump
733621.jpg,motorcycle_racing
561223.jpg,weightlifting
782897.jpg,air_hockey
585900.jpg,giant_slalom
857647.jpg,motorcycle_racing
441383.jpg,volleyball
295772.jpg,giant_slalom
262233.jpg,tug_of_war
574215.jpg,figure_skating_pairs
949030.jpg,ice_climbing
